Last Activity;Account Name;Last Modified Date;Parent Account
;755 - SENHORA DA HORA - MATOSINHOS_CGD;03-02-2025;CGD - Caixa Geral de Depósitos, S.A.
;121- CAIXA SANTOS (ASSEMBLEIA DA REPUBLICA) - CGD;06-01-2025;CGD - Caixa Geral de Depósitos, S.A.
;552 - OLEIROS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;855 - CAIXA ALENTEJO INTERIOR_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;690 - CAIXA RIBEIRA GRANDE - NORDESTE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;228 - CAIXA SERRA SAO MAMEDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;795 - CAIXA SAO BARTOLOMEU_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;198 - CAMPO MAIOR_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;292 - PRACA SALDANHA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;459 - MERTOLA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;513 - MORA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;75 - CAIXA ALTER - CRATO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;117 - CAIXA ALTO ALENTEJO ESTE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;157 - BENEDITA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;450 - MEALHADA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;158 - BESSA - PORTO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;324 - FIGUEIRO DOS VINHOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;328 - FOZ DO DOURO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;314 - DOM JOAO III - PONTA DELGADA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;348 - GOLEGA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;707 - CAIXA SANTOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;731 - SANTO ANDRE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;922 - VILAMOURA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;677 - REBORDOSA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;305 - FARALHAO - SETUBAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;660 - PORTO SANTO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;729 - SANTIAGO DO CACEM_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;780 - CAIXA SILVES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;196 - GONCALO CRISTOVAO - PORTO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;42 - ALFANDEGA DA FE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;564 - OLIVEIRA DE FRADES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;72 - SAO BRAS DE ALPORTEL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;210 - CARREGAL DO SAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;531 - NAZARE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;603 - PENAMACOR_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;420 - MACHICO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;503 - MONTE REDONDO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;720 - SANTA MARTA DE PENAGUIAO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;369 - IDANHA-A-NOVA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;849 - CAIXA ALENTEJO CENTRAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;471 - MIRANDA DO DOURO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;824 - UNIVERSIDADE DE LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;528 - MURTOSA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;456 - MELGACO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;156 - BENAVENTE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;870 - CAIXA VILA FRANCA - POVOACAO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;453 - MEDA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;861 - VILA DO BISPO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;933 - VOUZELA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;551 - OLAIAS - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;257 - CONDE DE VALBOM - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;124 - AVINTES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;98 - ANTAS - PORTO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;357 - GRANDOLA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;765 - SERPA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;738 - SAO JOAO DA PESQUEIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;327 - FORNOS DE ALGODRES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;21 - ALCACER DO SAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;594 - PENACOVA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;672 - PROENCA-A-NOVA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;507 - MONTEMOR-O-VELHO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;66 - ALMODOVAR_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;525 - MURCA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;78 - ALVAIAZERE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;330 - FREIXO DE ESPADA-A-CINTA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;614 - PERO PINHEIRO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;867 - VILA FLOR_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;675 - RATO - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;582 - PAMPILHOSA DA SERRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;711 - SANTA CRUZ - MADEIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;331 - FREIXIEIRO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;570 - OURIQUE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;51 - ALJUSTREL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;921 - CAIXA ALENTEJO TERRAS DO MARMORE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;798 - TABUA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;924 - VIMIOSO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;465 - MIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;304 - FATIMA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;93 - ANADIA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;2042 - PEVIDEM_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;519 - CAIXA ALENTEJO RAIA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;125 - RIO DE JANEIRO - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;350 - FONTE DA MOURA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;395 - LIDO - FUNCHAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;24 - ALCANENA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;495 - MONDIM DE BASTO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;132 - BAIAO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;681 - CAIXA ALQUEVA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;2128 - VILA MEA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;435 - MANTEIGAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;105 - CAIXA ARGANIL - GOIS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;329 - FREAMUNDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;546 - CAIXA SUDOESTE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;120 - ARRUDA DOS VINHOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;789 - SOBRAL DE MONTE AGRACO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;60 - CAIXA LEZIRIA CENTRAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;96 - ANSIAO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;208 - CARCAVELOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;600 - PENALVA DO CASTELO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;237 - CASTRO VERDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;177 - CABECEIRAS DE BASTO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;927 - VINHAIS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;655 - QUINTA DO MONIZ - EVORA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;2096 - SAO BARTOLOMEU DE MESSINES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;408 - LOUSÃ_CGD;23-01-2025;CGD - Caixa Geral de Depósitos, S.A.
;168 - BOTICAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;270 - COVILHA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;162 - BOMBARRAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;777 - SEVER DO VOUGA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;834 - VALENCA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;153 - BELMONTE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;504 - MONTEMOR-O-NOVO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;879 - VILA NOVA DE CERVEIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;219 - CASTANHEIRA DE PERA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;144 - BATALHA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;231 - CASTRO DAIRE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;318 - FIGUEIRA DE CASTELO RODRIGO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;165 - BORBA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;240 - CELORICO DE BASTO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;923 - VILAR FORMOSO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;846 - VENDAS NOVAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;684 - RESENDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;293 - ESTORIL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;595 - PEDRULHA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;264 - CORUCHE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;580 - PAIAO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;829 - VALADARES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;693 - RIBEIRA DE PENA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;792 - SOURE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;674 - QUARTEIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;747 - SAO VICENTE - MADEIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;354 - GOUVEIA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;534 - NELAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;826 - TROFA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;561 - OLIVEIRA DO BAIRRO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;477 - MOGADOURO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;394 - MARQUES DE POMBAL - LEIRIA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;279 - ELVAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;894 - VILA NOVA DE PAIVA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;3 - ABRANTES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;377 - JOANE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;615 - CAIXA REGUA - MESAO FRIO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;480 - MOIMENTA DA BEIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;229 - CASTILHO - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;733 - SANTO ANTONIO DOS CAVALEIROS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;588 - PAREDES DE COURA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;807 - TAVIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;384 - LAGOA - ALGARVE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;723 - SANTANA - MADEIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;15 - ALBERGARIA-A-VELHA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;722 - SANTA MARIA DE LAMAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;2051 - AREIAS DE SAO JOAO - OURA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;575 - PACO DE ARCOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;664 - QUATRO CAMINHOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;111 - AROUCA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;858 - VIEIRA DO MINHO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;753 - SATAO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;405 - LOURINHA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;771 - SESIMBRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;514 - MORAIS SOARES - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;205 - PENHA - FARO_CGD;12-08-2025;CGD - Caixa Geral de Depósitos, S.A.
;579 - PALMELA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;687 - RIBEIRA BRAVA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;501 - MONTALEGRE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;742 - SAO MATEUS - VISEU_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;310 - FERNAO DE MAGALHAES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;567 - OLIVEIRA DO HOSPITAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;516 - MORTAGUA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;483 - MOITA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;182 - CALDAS DAS TAIPAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;642 - PORTALEGRE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;20 - ALCABIDECHE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;936 - XABREGAS - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;537 - NISA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;739 - SAO MAMEDE DE INFESTA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;686 - RAMADA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;656 - QUINTA DAS PALMEIRAS - COVILHA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;266 - COSTA DA CAPARICA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;45 - ALIJO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;909 - CAIXA GUADIANA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;294 - ESTREMOZ_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;702 - SABUGAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;301 - EXPO SUL - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;873 - VILA FRANCA DE XIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;633 - PONTE DA BARCA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;388 - JARDINS DA PAREDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;752 - SAO JULIAO - SETUBAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;416 - LARANJEIRAS - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;201 - CAMPO DE OURIQUE - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;385 - LAMACAES - BRAGA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;215 - CARVALHOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;27 - ALCANTARA - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;510 - MONTIJO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;590 - PARQUE - MATOSINHOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;90 - AMARES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;268 - COVA DA PIEDADE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;636 - PONTE DE LIMA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;426 - CAIXA MAFRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;759 - SEIXAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;673 -QUELUZ_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;277 - Damaia_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;517 - Moscavide_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;192 - CAMARA DE LOBOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;411 - LOUSADA_CGD;07-10-2024;CGD - Caixa Geral de Depósitos, S.A.
;627 - PONTA DELGADA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;291 - ESTARREJA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;387 - LAGOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;99 - ANGRA DO HEROISMO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;306 - FEIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;297 - EVORA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;372 - ILHAVO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;147 - BEJA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;259 - COLUMBANO - LISBOA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;2065 - PRAIA DA ROCHA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;732 - SANTO TIRSO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;597 - PENAFIEL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;612 - PENICHE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;831 - VALE DE CAMBRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;555 - OLHAO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;573 - OVAR_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;558 - OLIVEIRA DE AZEMEIS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;2112 - CALENDARIO - FAMALICAO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;431 - MADALENAS - FUNCHAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;183 - CALDAS DA RAINHA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;399 - LOULE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;864 - VILA DO CONDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;361 - GLICINIAS - AVEIRO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;576 - PACOS DE FERREIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;721 - SANTA TECLA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;441 - MARINHA GRANDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;931 - VIZELA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;639 - PONTE DE SOR_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;393 - LEIRIA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;760 - CAIXA MIRA ZEZERE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;860 - VILA DAS AVES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;726 - SANTAREM_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;819 - TORRES NOVAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;343 - GANDARA DOS OLIVAIS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;668 - PRADO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;663 - POVOA DE LANHOSO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;143 - BARROSELAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;135 - BARCELOS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;813 - TOMAR_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;222 - CASTELO BRANCO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;624 - POMBAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;30 - ALCOBACA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;288 - ESPOSENDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;258 - CONDEIXA-A-NOVA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;282 - CAIXA MEDIO TEJO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;400 - LIXA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;102 - ARCOS DE VALDEVEZ_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;852 - VIANA DO CASTELO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;918 - VILA VERDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;213 - CARTAXO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;616 - PINHAL NOVO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;486 - MONCAO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;891 - OUREM_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;768 - SERTA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;39 - ALENQUER_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;363 - GUIMARAES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;2115 - TIMPEIRA - VILA REAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;751 - SAO VICENTE - VIANA DO CASTELO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;492 - MONCORVO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;774 - CENTRAL DE SETUBAL_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;696 - RIO MAIOR_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;390 - LAMEGO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;474 - MIRANDELA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;689 - QUINTA DO CONDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;195 - CAIXA CAMINHA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;786 - CENTRAL DE SINTRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;816 - TONDELA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;417 - MACEDO DE CAVALEIROS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;679 - REBOLEIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;247 - CHARNECA DA CAPARICA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;221 - CASAL DE SAO BRAS - AMADORA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;446 - MASSAMA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;833 - VALE DAS FLORES_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;243 - CELORICO DA BEIRA_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;592 - PATAMEIRAS - ODIVELAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;661 - CAIXA ESTUARIO DO TEJO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;646 - PORTELA - SACAVEM_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;339 - FUNDAO_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;432 - MANGUALDE_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
;542 - NOVA OEIRAS_CGD;06-09-2024;CGD - Caixa Geral de Depósitos, S.A.
